Date and Time , Thu Jan 21 04:16:36 2016

Cursor Data
Mode , Measure , Pk-Pk(1)
X1 , - - -
X2 , - - -
DeltaX , - - -
1/DeltaX , - - -
Y1 , -280.94mV
Y2 , 5.46780V
DeltaY , 5.74875V
DeltaY/DeltaX , - - -

Measurement Results
        , Frequency(1) , Pk-Pk(1)
Current , 1.0000MHz    , 5.7V    
Mean    , 997.5kHz     , 2.0V    
Min     , 111.1kHz     , 0.0V    
Max     , 48.000MHz    , 8.0V    
Std Dev , 127.4kHz     , 2.8V    
Count   , 636.7k       , 2.126M  

